Dataset,Algorithm,Method,Layer,Accuracy,AUC
copa,Difference in Means (DiM),White Box (Probes),25,0.55,0.5476
copa,Difference in Means (DiM),White Box (Probes),27,0.55,0.5503
copa,Difference in Means (DiM),White Box (Probes),29,0.55,0.54905
copa,Difference in Means (DiM),White Box (Probes),31,0.55,0.5515500000000001
boolq,Logistic Regression,Black Box (Logprobs),N/A,0.642,0.676332
boolq,Logistic Regression,White Box (Probes),1,0.62,0.60608
boolq,Logistic Regression,White Box (Probes),3,0.62,0.60888
boolq,Logistic Regression,White Box (Probes),5,0.61,0.634544
boolq,Logistic Regression,White Box (Probes),7,0.619,0.6424680000000002
boolq,Logistic Regression,White Box (Probes),9,0.609,0.6422720000000001
boolq,Logistic Regression,White Box (Probes),11,0.597,0.6378079999999999
boolq,Logistic Regression,White Box (Probes),13,0.622,0.6593439999999999
boolq,Logistic Regression,White Box (Probes),15,0.625,0.6800120000000001
boolq,Logistic Regression,White Box (Probes),17,0.626,0.668272
boolq,Logistic Regression,White Box (Probes),19,0.619,0.673052
boolq,Logistic Regression,White Box (Probes),21,0.614,0.6561440000000001
boolq,Logistic Regression,White Box (Probes),23,0.597,0.640448
boolq,Logistic Regression,White Box (Probes),25,0.606,0.6430199999999999
boolq,Logistic Regression,White Box (Probes),27,0.61,0.638736
boolq,Logistic Regression,White Box (Probes),29,0.603,0.635324
boolq,Logistic Regression,White Box (Probes),31,0.611,0.637732
boolq,Difference in Means (DiM),Black Box (Logprobs),N/A,0.642,0.676332
boolq,Difference in Means (DiM),White Box (Probes),1,0.62,0.6372439999999999
boolq,Difference in Means (DiM),White Box (Probes),3,0.62,0.631066
boolq,Difference in Means (DiM),White Box (Probes),5,0.62,0.63298
boolq,Difference in Means (DiM),White Box (Probes),7,0.62,0.6286759999999999
boolq,Difference in Means (DiM),White Box (Probes),9,0.62,0.6217760000000001
boolq,Difference in Means (DiM),White Box (Probes),11,0.62,0.6268959999999999
boolq,Difference in Means (DiM),White Box (Probes),13,0.62,0.6412479999999999
boolq,Difference in Means (DiM),White Box (Probes),15,0.62,0.659756
boolq,Difference in Means (DiM),White Box (Probes),17,0.62,0.66808
boolq,Difference in Means (DiM),White Box (Probes),19,0.62,0.664912
boolq,Difference in Means (DiM),White Box (Probes),21,0.62,0.658052
boolq,Difference in Means (DiM),White Box (Probes),23,0.62,0.655804
boolq,Difference in Means (DiM),White Box (Probes),25,0.62,0.65042
boolq,Difference in Means (DiM),White Box (Probes),27,0.62,0.6462239999999999
boolq,Difference in Means (DiM),White Box (Probes),29,0.62,0.643788
boolq,Difference in Means (DiM),White Box (Probes),31,0.62,0.64586
